title,year,runtime,genre_1,genre_2,director,score,user_ratings,budget,revenue
2001: A Space Odyssey,1968,149,Science Fiction,Mystery,Stanley Kubrick,80,12923,"$12,000,000","$71,923,560"
Purple Hearts,2022,122,Romance,Drama,Elizabeth Allen Rosenbaum,80,2935,-,-
A Dog's Journey,2019,109,Family,Adventure,Gail Mancuso,80,1652,"$16,000,000","$78,871,079"
The Voice of Hind Rajab,2025,89,Drama,History,Kaouther Ben Hania,81,357,-,"$5,058,441"
HOMECOMING: A film by Beyoncé,2019,137,Documentary,Music,Beyoncé,80,355,-,-
Sherlock Jr.,1924,45,Action,Comedy,Buster Keaton,80,1202,-,-
Me Against You: Mr. S's Vendetta,2020,64,Family,Fantasy,Gianluca Leuzzi,80,473,"$75,000","$9,500,000"
My Name Is Khan,2010,165,Drama,Romance,Karan Johar,80,1499,"$12,000,000","$42,345,360"
The Lives of Others,2006,137,Drama,Thriller,Florian Henckel von Donnersmarck,80,4253,"$2,000,000","$77,672,685"
Lion,2016,118,Drama,,Garth Davis,80,7058,"$12,000,000","$140,312,928"
The Best of Youth,2003,367,Drama,History,Marco Tullio Giordana,80,619,-,"$2,693,053"
A Taxi Driver,2017,138,Action,Drama,Jang Hoon,80,1219,"$12,820,005","$81,927,980"
How to Train Your Dragon: Homecoming,2019,22,Animation,Fantasy,Tim Johnson,80,1138,-,-
Rashomon,1950,88,Crime,Drama,Akira Kurosawa,80,2599,"$250,000","$117,668"
For a Few Dollars More,1965,132,Western,,Sergio Leone,80,4598,"$600,000","$15,000,000"
Paris Is Burning,1991,78,Documentary,History,Jennie Livingston,80,567,"$500,000","$3,906,006"
The Wolf of Wall Street,2013,180,Crime,Drama,Martin Scorsese,80,26494,"$100,000,000","$407,039,432"
La Dolce Vita,1960,174,Comedy,Drama,Federico Fellini,80,2069,-,"$19,647,000"
The Dawn Wall,2017,101,Documentary,Adventure,Josh Lowell,80,367,-,-
The Grand Budapest Hotel,2014,100,Comedy,Drama,Wes Anderson,80,16481,"$30,000,000","$174,600,318"
Late Spring,1949,108,Drama,,Yasujirō Ozu,80,492,-,-
Amadeus,1984,160,Drama,History,Miloš Forman,80,4911,"$18,000,000","$90,007,557"
No Other Land,2024,92,Documentary,,Hamdan Ballal,80,340,-,"$3,608,606"
Oppenheimer,2023,181,Drama,History,Christopher Nolan,80,12457,"$100,000,000","$952,000,000"
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019,90,Animation,Comedy,Takaomi Kanasaki,80,639,-,"$5,078,942"
Front of the Class,2008,95,Drama,,Peter Werner,80,331,-,-
Ultraman: Rising,2024,117,Animation,Science Fiction,Shannon Tindle,80,404,-,-
Believe Me: The Abduction of Lisa McVey,2018,87,Drama,TV Movie,Jim Donovan,80,708,-,-
Flipped,2010,89,Romance,Drama,Rob Reiner,80,3408,"$14,000,000","$4,324,817"
Ran,1985,160,Action,Drama,Akira Kurosawa,80,1903,"$12,000,000","$23,334,156"
The Sting,1973,129,Comedy,Crime,George Roy Hill,80,3093,"$5,500,000","$159,616,327"
Ugetsu,1953,96,Fantasy,Drama,Kenji Mizoguchi,80,658,-,-
On My Skin,2018,100,Drama,,Alessio Cremonini,80,1899,-,-
Rocco and His Brothers,1960,178,Drama,Romance,Luchino Visconti,80,677,-,-
Ayla: The Daughter of War,2017,124,Drama,War,Can Ulkay,80,404,"$4,200,000","$21,107,423"
The Second Mother,2015,112,Drama,,Anna Muylaert,80,795,-,-
Harry Potter and the Prisoner of Azkaban,2004,141,Adventure,Fantasy,Alfonso Cuarón,80,23616,"$130,000,000","$789,804,554"
"Rome, Open City",1945,104,Drama,War,Roberto Rossellini,80,996,"$20,000","$1,000,000"
Bo Burnham: Make Happy,2016,60,Comedy,Music,Bo Burnham,80,453,-,-
Nobody Knows,2004,141,Drama,,Hirokazu Kore-eda,80,673,-,-
3 Idiots,2009,171,Drama,Comedy,Rajkumar Hirani,80,2826,"$9,000,000","$70,000,000"
Requiem for a Dream,2000,102,Crime,Drama,Darren Aronofsky,80,11282,"$4,500,000","$7,390,108"
Ford v Ferrari,2019,153,Drama,History,James Mangold,80,9278,"$97,600,000","$225,508,210"
The Wages of Fear,1953,154,Drama,Thriller,Henri-Georges Clouzot,80,1127,-,-
Hachi: A Dog's Tale,2009,93,Drama,Family,Lasse Hallström,80,7316,"$16,000,000","$46,800,000"
Dial M for Murder,1954,105,Thriller,Crime,Alfred Hitchcock,80,2943,"$1,400,000","$3,000,000"
The Odyssey,2026,173,Adventure,Action,Christopher Nolan,80,3652,"$250,000,000","$1,631,536,965"
KPop Demon Hunters,2025,96,Fantasy,Music,Maggie Kang,80,3196,"$100,000,000","$24,619,953"
"Veinteañera, divorciada y fantástica",2020,93,Comedy,,Noé Santillán-López,80,393,-,-
"Toto, Peppino, and the Hussy",1956,101,Comedy,Romance,Camillo Mastrocinque,80,380,-,-
El mesero,2021,86,Comedy,,Raúl Martínez,80,358,-,-
Lawrence of Arabia,1962,228,Adventure,History,David Lean,80,3572,"$15,000,000","$70,000,000"
Casino,1995,179,Crime,Drama,Martin Scorsese,80,6721,"$50,000,000","$116,112,375"
Barry Lyndon,1975,188,Drama,History,Stanley Kubrick,80,3280,"$11,000,000","$31,500,000"
Guillermo del Toro's Pinocchio,2022,117,Animation,Fantasy,Guillermo del Toro,80,3453,"$35,000,000",-
American Beauty,1999,122,Drama,,Sam Mendes,80,13332,"$15,000,000","$356,296,601"
The 400 Blows,1959,99,Drama,,François Truffaut,80,2381,-,-
The Hidden Fortress,1958,139,Drama,Action,Akira Kurosawa,80,734,-,"$57,673"
Judgment at Nuremberg,1961,191,Drama,History,Stanley Kramer,80,984,"$3,000,000","$10,000,000"
Gifted,2017,101,Drama,Comedy,Marc Webb,80,6061,"$7,000,000","$40,300,000"
Avicii: True Stories,2017,97,Music,Documentary,Levan Tsikurishvili,80,361,-,-
Like Stars on Earth,2007,162,Drama,,Aamir Khan,80,1404,"$2,600,000","$28,430,000"
Gran Torino,2008,116,Drama,,Clint Eastwood,80,11806,"$33,000,000","$270,000,000"
Toy Story,1995,81,Family,Comedy,John Lasseter,80,20500,"$30,000,000","$962,301,978"
Room,2015,118,Drama,Thriller,Lenny Abrahamson,80,9832,"$13,000,000","$35,401,758"
Tae Guk Gi: The Brotherhood of War,2004,148,Action,Adventure,Kang Je-gyu,80,794,"$1,500,000",-
We Are the Nobles,2013,108,Comedy,,Gary Alazraki,80,553,"$2,000,000","$26,433,651"
1917,2019,119,War,Drama,Sam Mendes,80,13877,"$100,000,000","$446,064,352"
Won't You Be My Neighbor?,2018,95,Documentary,,Morgan Neville,80,615,-,"$22,835,787"
Transformers One,2024,104,Animation,Science Fiction,Josh Cooley,80,1761,"$75,000,000","$129,408,392"
Loving Vincent,2017,95,Animation,Drama,DK Welchman,80,2647,"$5,500,000","$42,187,665"
The Red Shoes,1948,133,Drama,Romance,Emeric Pressburger,80,769,"$500,000","$10,000,000"
Song of the Sea,2014,94,Family,Animation,Tomm Moore,80,1620,-,"$857,522"
The Imitation Game,2014,113,History,Drama,Morten Tyldum,80,18398,"$14,000,000","$233,555,708"
To Kill a Mockingbird,1962,129,Drama,,Robert Mulligan,80,2945,"$2,000,000","$13,129,846"
Chungking Express,1994,103,Drama,Comedy,Wong Kar-Wai,80,2273,"$160,000","$1,000,000"
Catch Me If You Can,2002,141,Drama,Crime,Steven Spielberg,80,17533,"$52,000,000","$352,114,312"
Paperman,2012,7,Animation,Family,John Kahrs,80,1834,-,-
Jurassic Park,1993,127,Adventure,Science Fiction,Steven Spielberg,80,18327,"$63,000,000","$1,058,454,230"
Paper Lives,2021,96,Drama,,Can Ulkay,80,422,-,-
Jojo Rabbit,2019,108,Comedy,War,Taika Waititi,80,10672,"$14,000,000","$82,468,705"
Weathering with You,2019,112,Animation,Drama,Makoto Shinkai,80,2706,"$11,100,000","$192,729,404"
Bingo: The King of the Mornings,2017,113,Comedy,Drama,Daniel Rezende,80,419,-,-
The Secret in Their Eyes,2009,130,Mystery,Thriller,Juan José Campanella,80,2948,"$2,000,000","$33,965,843"
Castle in the Sky,1986,125,Adventure,Fantasy,Hayao Miyazaki,80,4795,"$3,000,000","$5,228,752"
Kill Bill: Vol. 1,2003,111,Action,Crime,Quentin Tarantino,80,19392,"$30,000,000","$180,906,076"
Before Sunrise,1995,101,Drama,Romance,Richard Linklater,80,4855,"$2,500,000","$5,987,386"
Society of the Snow,2023,143,Drama,History,J. A. Bayona,80,3619,"$65,500,000","$1,281"
Citizen Kane,1941,119,Mystery,Drama,Orson Welles,80,6220,"$839,727","$23,218,000"
Cruella,2021,134,Comedy,Crime,Craig Gillespie,80,10293,"$200,000,000","$233,503,234"
The Gold Rush,1925,95,Adventure,Comedy,Charlie Chaplin,80,1892,"$923,000","$4,000,000"
Aliens,1986,137,Action,Thriller,James Cameron,80,11168,"$18,500,000","$183,316,455"
Close-Up,1990,98,Crime,Drama,Abbas Kiarostami,80,459,-,-
Nights of Cabiria,1957,110,Drama,Comedy,Federico Fellini,80,877,-,"$752,045"
Bo Burnham: Inside,2021,88,Comedy,,Bo Burnham,80,640,-,-
The Deer Hunter,1978,183,Drama,War,Michael Cimino,80,4379,"$15,000,000","$49,000,000"
Three Men and a Leg,1997,98,Comedy,,Aldo Baglio,80,2174,-,-
Autumn Sonata,1978,93,Drama,Music,Ingmar Bergman,80,727,-,-
"Love, Simon",2018,110,Comedy,Drama,Greg Berlanti,80,6332,"$17,000,000","$66,316,289"
The Iron Giant,1999,86,Animation,Drama,Brad Bird,80,6358,"$50,000,000","$23,300,000"
North by Northwest,1959,137,Thriller,Adventure,Alfred Hitchcock,80,4631,"$4,000,000","$13,275,000"
Black Beauty,2020,110,Drama,,Ashley Avis,80,362,-,-
Up,2009,96,Animation,Comedy,Pete Docter,80,22107,"$175,000,000","$735,103,954"
Trainspotting,1996,94,Drama,Crime,Danny Boyle,80,10649,"$4,000,000","$71,981,823"
In a Heartbeat,2017,4,Animation,Comedy,Esteban Bravo,80,1035,-,-
Dragon Ball Super: Broly,2018,101,Action,Science Fiction,Tatsuya Nagamine,80,3261,"$1,000,000","$125,002,821"
Poverty and Nobility,1954,90,Comedy,,Mario Mattoli,80,301,-,-
The Passion of Joan of Arc,1928,81,Drama,History,Carl Theodor Dreyer,80,1124,-,"$18,121"
The Treasure of the Sierra Madre,1948,126,Adventure,Drama,John Huston,80,1385,"$3,800,000","$4,307,000"
The Sixth Sense,1999,107,Mystery,Thriller,M. Night Shyamalan,80,13278,"$40,000,000","$672,800,000"
El Infierno,2010,148,Action,Crime,Luis Estrada,80,812,-,"$6,703,873"
Million Dollar Baby,2004,132,Drama,,Clint Eastwood,80,10572,"$30,000,000","$216,763,646"
Bohemian Rhapsody,2018,135,Music,Drama,Bryan Singer,80,18033,"$52,000,000","$910,813,521"
Sound of Freedom,2023,131,Action,Drama,Alejandro Monteverde,80,2832,"$14,500,000","$250,600,000"
The Cove,2009,92,Documentary,,Louie Psihoyos,79,696,-,"$1,162,422"
No Country for Old Men,2007,122,Crime,Thriller,Joel Coen,80,13750,"$25,000,000","$171,627,166"
Something the Lord Made,2004,110,TV Movie,Drama,Joseph Sargent,80,324,-,-
A Man Escaped,1956,101,Drama,Thriller,Robert Bresson,79,633,-,-
Under the Same Moon,2007,106,Drama,,Patricia Riggen,79,366,-,"$23,311,391"
Spider-Man: No Way Home,2021,148,Action,Adventure,Jon Watts,79,23090,"$200,000,000","$1,921,426,073"
Flamin' Hot,2023,99,Drama,History,Eva Longoria,79,862,-,-
Pink Floyd: The Wall,1982,95,Music,Drama,Alan Parker,79,1696,"$12,000,000","$22,244,207"
Whisper of the Heart,1995,111,Animation,Drama,Yoshifumi Kondo,79,2349,-,-
Yi Yi,2000,174,Drama,,Edward Yang,79,701,-,"$1,528,767"
Braveheart,1995,178,Action,Drama,Mel Gibson,79,11416,"$72,000,000","$213,216,216"
Heat,1995,170,Crime,Drama,Michael Mann,79,8665,"$60,000,000","$187,400,000"
Robot Dreams,2023,102,Animation,Drama,Pablo Berger,79,842,"$5,300,000","$4,656,348"
Mirror,1975,107,Drama,History,Andrei Tarkovsky,79,1120,"$825,000","$124,367"
Regular Show: The Movie,2015,69,Animation,Comedy,J.G. Quintel,79,449,"$3,000,000",-
Andrei Rublev,1966,183,Drama,History,Andrei Tarkovsky,79,974,"$1,300,000","$24,173"
Scooby-Doo! and KISS: Rock and Roll Mystery,2015,79,Family,Animation,Spike Brandt,79,358,-,-
Akira,1988,124,Animation,Science Fiction,Katsuhiro Otomo,79,4974,"$5,700,000","$56,725,538"
Warriors of the Wind,1984,95,Adventure,Animation,Hayao Miyazaki,79,4194,"$1,000,000","$9,016,411"
Ordet,1955,125,Drama,,Carl Theodor Dreyer,79,426,-,-
The Sheep Detectives,2026,109,Comedy,Family,Kyle Balda,79,1635,"$75,000,000","$131,550,648"
Kitbull,2019,9,Animation,Family,Rosana Sullivan,79,417,-,-
"ariana grande: excuse me, i love you",2020,97,Music,Documentary,Paul Dugdale,79,382,-,-
Coraline,2009,100,Animation,Family,Henry Selick,79,9411,"$60,000,000","$185,860,104"
Blade Runner,1982,118,Science Fiction,Drama,Ridley Scott,79,15388,"$28,000,000","$41,722,424"
Dersu Uzala,1975,141,Adventure,Drama,Akira Kurosawa,79,651,"$4,000,000",-
How to Train Your Dragon,2025,125,Fantasy,Family,Dean DeBlois,79,3107,"$150,000,000","$636,351,148"
Monster,2023,125,Mystery,Thriller,Hirokazu Kore-eda,79,955,-,-
"Red, White & Royal Blue",2023,118,Comedy,Romance,Matthew López,79,1625,"$20,000,000",-
Farewell My Concubine,1993,171,Drama,,Chen Kaige,79,708,"$4,000,000","$6,400,000"
Guardians of the Galaxy Vol. 3,2023,150,Science Fiction,Adventure,James Gunn,79,8796,"$250,000,000","$845,550,000"
The Cabinet of Dr. Caligari,1920,77,Drama,Horror,Robert Wiene,79,1819,"$18,000","$8,811"
Beyond the Universe,2022,126,Romance,Drama,Diego Freitas,79,348,-,-
Me Before You,2016,110,Drama,Romance,Thea Sharrock,79,13560,"$20,000,000","$207,945,075"
Rope,1948,81,Thriller,Crime,Alfred Hitchcock,79,3081,"$1,500,000","$2,200,000"
Mayday,2026,111,Action,Comedy,John Francis Daley,79,510,"$25,000,000",-
Love Exposure,2008,237,Comedy,Drama,Sion Sono,79,535,-,-
Tokyo Godfathers,2003,92,Animation,Drama,Satoshi Kon,79,1561,"$2,400,000","$607,735"
Sanjuro,1962,96,Drama,Action,Akira Kurosawa,79,746,-,-
Ghost in the Shell,1995,83,Action,Animation,Mamoru Oshii,79,4039,"$3,000,000","$10,000,000"
Freedom Writers,2007,123,Crime,Drama,Richard LaGravenese,79,2485,"$21,000,000","$43,095,175"
Raiders of the Lost Ark,1981,115,Adventure,Action,Steven Spielberg,79,13973,"$18,000,000","$389,925,971"
12 Years a Slave,2013,134,Drama,History,Steve McQueen,79,12205,"$20,000,000","$187,000,000"
La Notte,1961,122,Drama,Romance,Michelangelo Antonioni,79,754,-,-
The Great Escape,1963,173,Adventure,Drama,John Sturges,79,2939,"$4,000,000","$11,700,000"
The Cure,1995,97,Drama,Family,Peter Horton,79,366,-,"$2,568,235"
Don't Look Now... We're Being Shot At!,1966,132,Comedy,War,Gérard Oury,79,1490,-,-
"Batman: The Dark Knight Returns, Part 2",2013,78,Science Fiction,Action,Jay Oliva,79,1631,"$3,500,000",-
The Cranes Are Flying,1957,97,Drama,Romance,Mikhail Kalatozov,79,470,-,-
The Circus,1928,72,Comedy,Drama,Charlie Chaplin,79,917,"$9,000,000",-
Throne of Blood,1957,108,Drama,History,Akira Kurosawa,79,1016,-,"$13,422"
In This Corner of the World,2016,130,Animation,Drama,Sunao Katabuchi,79,650,-,"$19,496,308"
Amélie,2001,122,Comedy,Romance,Jean-Pierre Jeunet,79,12644,"$10,000,000","$173,921,954"
"No manches, Frida 2: paraíso destruido",2019,102,Comedy,,Nacho G. Velilla,79,967,"$5,000,000","$26,500,000"
Where Is The Friend's House?,1987,83,Drama,Adventure,Abbas Kiarostami,79,451,-,-
Hearts of Darkness: A Filmmaker's Apocalypse,1991,96,Documentary,,Fax Bahr,79,435,-,"$1,394,661"
When Marnie Was There,2014,103,Animation,Drama,Hiromasa Yonebayashi,79,2018,-,"$34,949,567"
The Witch: Part 1. The Subversion,2018,126,Action,Drama,Park Hoon-jung,79,796,"$5,500,000","$24,340,302"
My Way,2011,137,Drama,Action,Kang Je-kyu,79,463,"$25,500,000","$16,653,488"
The Exterminating Angel,1962,93,Comedy,Drama,Luis Buñuel,79,764,-,-
The General,1926,79,Comedy,War,Buster Keaton,79,1453,"$750,000","$1,000,000"
The Way He Looks,2014,96,Drama,Romance,Daniel Ribeiro,79,1005,-,"$1,207,841"
Raise the Red Lantern,1991,125,Drama,,Zhang Yimou,79,818,"$1,000,000","$16,600,000"
Tel chi el telùn,1999,120,Comedy,,Arturo Brachetti,79,344,-,-
Unforgiven,1992,130,Western,,Clint Eastwood,79,5097,"$14,400,000","$159,157,447"
The Postman,1994,114,Comedy,Drama,Michael Radford,79,1248,"$3,000,000","$33,000,000"
Return of the Jedi,1983,132,Adventure,Action,Richard Marquand,79,17286,"$32,350,000","$572,700,000"
Miraculous World: Shanghai - The Legend of Ladydragon,2021,54,Animation,Family,Thomas Astruc,79,701,-,-
La Strada,1954,115,Drama,,Federico Fellini,79,1197,-,-
The Boy and the Beast,2015,119,Action,Adventure,Mamoru Hosoda,79,1638,-,"$49,714,378"
Castaway on the Moon,2009,119,Drama,Comedy,Lee Hae-jun,79,748,-,-
Guardians of the Galaxy,2014,121,Action,Science Fiction,James Gunn,79,30283,"$170,000,000","$772,776,600"
Inside Out,2015,95,Animation,Family,Pete Docter,79,23873,"$175,000,000","$857,611,174"
Dallas Buyers Club,2013,117,Drama,History,Jean-Marc Vallée,79,9265,"$5,000,000","$55,736,588"
A Separation,2011,123,Drama,,Asghar Farhadi,79,2014,"$5,000,000","$24,426,169"
Chinatown,1974,130,Crime,Mystery,Roman Polanski,79,4393,"$6,000,000","$30,000,000"
Gone with the Wind,1939,238,Drama,War,Victor Fleming,79,4472,"$4,000,000","$402,352,579"
Hannah Gadsby: Nanette,2018,69,Comedy,,Madeleine Parry,79,307,-,-
It's Such a Beautiful Day,2012,62,Animation,Comedy,Don Hertzfeldt,79,379,-,-
About Time,2013,123,Drama,Romance,Richard Curtis,79,9492,"$12,000,000","$87,100,449"
I'm Still Here,2024,138,Drama,History,Walter Salles,79,1152,"$8,000,000","$36,361,572"
Harry Potter and the Philosopher's Stone,2001,152,Adventure,Fantasy,Chris Columbus,79,30198,"$125,000,000","$1,029,374,615"
Mulan,1998,88,Animation,Family,Barry Cook,79,10663,"$90,000,000","$304,320,254"
A Bronx Tale,1993,121,Drama,Crime,Robert De Niro,79,2994,"$22,000,000","$17,287,898"
Faust,1926,116,Fantasy,Drama,F. W. Murnau,79,409,-,-
The Battle of Algiers,1966,122,Drama,War,Gillo Pontecorvo,79,925,"$800,000","$964,028"
The Miracle Worker,1962,106,Drama,History,Arthur Penn,79,354,"$500,000","$2,500,000"
Titanic,1997,194,Drama,Romance,James Cameron,79,27715,"$200,000,000","$2,264,162,353"
Free Solo,2018,100,Documentary,Adventure,Jimmy Chin,79,1570,-,"$21,790,193"
La Maison en Petits Cubes,2008,12,Animation,Drama,Kunio Kato,79,474,-,-
Ne Zha,2019,110,Animation,Fantasy,Jiao Zi,79,954,"$22,000,000","$742,718,496"
The Count of Monte Cristo,2024,178,Adventure,Action,Matthieu Delaporte,79,2133,"$46,000,000","$75,360,860"
V for Vendetta,2006,132,Action,Thriller,James McTeigue,79,15915,"$54,000,000","$134,686,457"
All Your Faces,2023,115,Drama,,Jeanne Herry,79,714,-,-
Miracle in Cell No. 7,2013,128,Drama,Comedy,Lee Hwan-kyung,79,507,-,"$80,300,000"
What Ever Happened to Baby Jane?,1962,135,Drama,Horror,Robert Aldrich,79,1188,"$980,000",-
Raging Bull,1980,129,Drama,History,Martin Scorsese,79,4881,"$18,000,000","$23,380,203"
My Father's Violin,2022,112,Drama,Music,Andaç Haznedaroğlu,79,342,-,-
Simone: Woman of the Century,2022,140,Drama,History,Olivier Dahan,79,385,-,-
La La Land,2016,129,Comedy,Drama,Damien Chazelle,79,18462,"$30,000,000","$509,183,536"
Dragon Ball Super: Super Hero,2022,100,Animation,Science Fiction,Tetsuro Kodama,79,3080,-,"$86,600,000"
Roman Holiday,1953,119,Romance,Comedy,William Wyler,79,2327,"$1,500,000","$12,000,000"
Ben-Hur,1959,212,History,Drama,William Wyler,79,3257,"$15,000,000","$164,000,000"
My Octopus Teacher,2020,85,Documentary,,Pippa Ehrlich,79,1082,-,-
Ivan Vasilyevich Changes His Profession,1973,88,Comedy,Science Fiction,Leonid Gaidai,79,419,-,-
Army of Shadows,1969,145,War,Drama,Jean-Pierre Melville,79,773,-,"$906,133"
Gone Girl,2014,149,Mystery,Thriller,David Fincher,79,20384,"$61,000,000","$370,890,259"
The Legend of La Llorona,2011,75,Animation,Family,Alberto Rodríguez,79,320,-,"$3,900,000"
Limelight,1952,137,Romance,Drama,Charlie Chaplin,79,614,"$900,000","$1,000,000"
The Notebook,2004,123,Romance,Drama,Nick Cassavetes,79,12853,"$29,000,000","$115,600,000"
The Greatest Night in Pop,2024,96,Documentary,Music,Bao Nguyen,79,313,-,-
Suzume,2022,122,Animation,Drama,Makoto Shinkai,79,1839,"$13,000,000","$314,992,206"
Captain Fantastic,2016,119,Drama,Comedy,Matt Ross,79,6954,"$5,000,000","$23,123,592"
In the Name of the Father,1993,133,Drama,,Jim Sheridan,79,2042,"$13,000,000","$65,796,862"
Three Colors: Red,1994,100,Drama,Mystery,Krzysztof Kieślowski,79,1594,-,"$4,127,033"
My Hero Academia: Two Heroes,2018,96,Animation,Action,Kenji Nagasaki,79,1141,"$12,000,000","$27,507,549"
The Boy Who Harnessed the Wind,2019,113,Drama,History,Chiwetel Ejiofor,79,1921,-,-
The Third Man,1949,105,Thriller,Mystery,Carol Reed,79,2170,-,"$1,226,098"
Your Name Engraved Herein,2020,115,Romance,Drama,Liu Kuang-Hui,79,316,-,-
Temple Grandin,2010,108,Drama,History,Mick Jackson,79,583,-,-
Lee Cronin's The Mummy,2026,133,Horror,Mystery,Lee Cronin,79,2643,"$22,000,000","$90,552,113"
A Street Cat Named Bob,2016,103,Family,Drama,Roger Spottiswoode,79,1586,"$8,000,000","$17,900,000"
Children of Heaven,1997,88,Drama,Family,Majid Majidi,79,747,"$180,000","$925,402"
The Pursuit of Happyness,2006,117,Drama,,Gabriele Muccino,79,10844,"$55,000,000","$307,077,295"
Justice League: The Flashpoint Paradox,2013,81,Animation,Action,Jay Oliva,79,2016,"$3,500,000",-
Divorce Italian Style,1961,104,Comedy,Crime,Pietro Germi,79,547,-,-
Diabolique,1955,118,Thriller,Mystery,Henri-Georges Clouzot,79,1130,-,-
Rebecca,1940,130,Mystery,Romance,Alfred Hitchcock,79,2027,-,-
Forgotten,2017,108,Thriller,Mystery,Chang Hang-jun,79,1392,-,"$9,968,972"
Let Go,2024,110,Drama,,Josephine Bornebusch,79,375,-,-
Mary and Max,2009,92,Animation,Comedy,Adam Elliot,79,2323,"$8,240,000","$1,740,429"
Persepolis,2007,95,Animation,Drama,Marjane Satrapi,79,2242,"$7,300,000","$22,783,990"
CODA,2021,112,Drama,Music,Sian Heder,79,2700,"$10,000,000","$1,905,058"
Searching for Sugar Man,2012,85,Music,Documentary,Malik Bendjelloul,79,1064,"$1,000,000","$3,696,196"
Koyaanisqatsi,1983,86,Documentary,Music,Godfrey Reggio,79,795,"$600,000","$3,200,000"
Winter Light,1963,80,Drama,,Ingmar Bergman,79,521,-,-
Estômago: A Gastronomic Story,2008,113,Drama,Comedy,Marcos Jorge,79,309,"$536,279",-
Umberto D.,1952,91,Drama,,Vittorio De Sica,79,761,-,"$71,461"
Where Hands Touch,2018,122,War,Drama,Amma Asante,79,543,-,"$128,269"
A Trip to the Moon,1902,15,Adventure,Science Fiction,Georges Méliès,79,2064,"$5,985",-
An Autumn Afternoon,1962,113,Drama,,Yasujirō Ozu,79,333,-,-
Mamma Roma,1962,110,Drama,,Pier Paolo Pasolini,79,443,-,-
The Internet's Own Boy: The Story of Aaron Swartz,2014,105,Documentary,Crime,Brian Knappenberger,79,475,-,"$48,911"
Teen Titans: Trouble in Tokyo,2006,75,Animation,Action,Heather A. Maxwell,79,477,-,-
"The Gangster, the Cop, the Devil",2019,110,Action,Crime,Lee Won-tae,79,1568,"$6,500,000","$25,775,371"
"Remi, Nobody's Boy",2018,109,Adventure,Family,Antoine Blossier,79,475,-,"$7,434,840"
Amarcord,1973,123,Comedy,Drama,Federico Fellini,79,1240,-,-
Kill Bill: Vol. 2,2004,136,Action,Crime,Quentin Tarantino,79,15428,"$30,000,000","$152,159,461"
Death Note Relight 1: Visions of a God,2007,131,TV Movie,Crime,Tetsuro Araki,79,403,-,-
Dangal,2016,161,Drama,Family,Nitesh Tiwari,79,1217,"$10,400,000","$311,000,000"
Werckmeister Harmonies,2001,139,Drama,,Béla Tarr,79,394,-,"$64,974"
A Whisker Away,2020,104,Animation,Drama,Junichi Sato,79,1509,-,-
Wild Tales,2014,122,Drama,Thriller,Damián Szifron,79,3863,"$4,000,000","$31,478,893"
Honeyland,2019,89,Documentary,,Tamara Kotevska,79,310,-,"$1,133,735"
A Movie of Eggs,2006,90,Animation,Comedy,Rodolfo Riva Palacio Alatriste,79,332,"$800,000","$7,144,638"
How to Train Your Dragon,2010,98,Fantasy,Adventure,Chris Sanders,79,14711,"$165,000,000","$495,141,736"
Winter on Fire: Ukraine's Fight for Freedom,2015,98,Documentary,,Evgeny Afineevsky,79,327,-,-
Paper Moon,1973,102,Comedy,Crime,Peter Bogdanovich,79,866,"$2,500,000","$30,900,000"
Redeeming Love,2022,134,Romance,Drama,D.J. Caruso,79,775,"$30,000,000","$9,464,198"
Nobody,2021,91,Action,Thriller,Ilya Naishuller,79,8686,"$16,000,000","$57,512,470"
An Egg Rescue,2021,89,Animation,Comedy,Rodolfo Riva Palacio Alatriste,79,422,"$6,400,000","$4,093,345"
Downfall,2004,155,Drama,History,Oliver Hirschbiegel,79,4445,"$16,000,000","$92,181,574"
Cries and Whispers,1972,95,Drama,,Ingmar Bergman,79,802,"$400,000",-
La Jetée,1962,29,Drama,Romance,Chris Marker,79,1039,-,-
Spider-Man: Brand New Day,2026,145,Science Fiction,Action,Destin Daniel Cretton,78,2641,"$225,000,000","$2,413,442,530"
Grand Illusion,1937,114,Drama,History,Jean Renoir,79,796,-,"$172,885"
I'm No Longer Here,2019,112,Drama,,Luis Fernando Frías de la Parra,79,535,"$849,080",-
Apollo 11,2019,93,Documentary,History,Todd Douglas Miller,79,728,-,-
Bad Genius,2017,130,Drama,Crime,Nattawut Poonpiriya,79,869,"$1,839,169","$42,350,000"
The Night of the Hunter,1955,93,Crime,Drama,Charles Laughton,79,1897,"$795,000",-
Made in Abyss: Dawn of the Deep Soul,2020,105,Animation,Adventure,Masayuki Kojima,79,319,-,"$4,971,635"
Nimona,2023,99,Animation,Family,Troy Quane,79,1493,-,-
Sing Street,2016,105,Romance,Drama,John Carney,79,2509,"$4,000,000","$13,624,522"
Millennium Actress,2002,87,Animation,Drama,Satoshi Kon,79,1087,-,"$37,641"
Young Frankenstein,1974,106,Comedy,,Mel Brooks,79,3478,"$2,800,000","$86,273,333"
"Monsters, Inc.",2001,92,Animation,Comedy,Pete Docter,79,20227,"$115,000,000","$579,700,000"
Indiana Jones and the Last Crusade,1989,127,Adventure,Action,Steven Spielberg,79,11337,"$48,000,000","$474,171,806"
Wish Dragon,2021,99,Animation,Family,Chris Appelhans,79,1559,-,"$25,860,000"
